periodo,customer_id,product_id,plan_precios_cuidados,cust_request_qty,cust_request_tn,tn,cat1,cat2,cat3,brand,sku_size,descripcion
201701,10001,20001,0,11,99.43861,99.43861,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201702,10001,20001,0,23,198.84365,198.84365,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201703,10001,20001,0,33,92.46537,92.46537,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201704,10001,20001,0,8,13.29728,13.29728,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201705,10001,20001,0,15,101.20711,101.00563,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201706,10001,20001,0,25,128.04792,128.04792,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201707,10001,20001,0,18,101.20711,101.20711,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201708,10001,20001,0,17,43.3393,43.3393,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201709,10001,20001,0,36,289.35024,289.35024,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201710,10001,20001,0,22,222.11389,222.11389,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201711,10001,20001,0,20,114.0119,111.54944,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201712,10001,20001,0,19,131.2715,131.2715,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201801,10001,20001,0,26,49.61857,49.61857,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201802,10001,20001,0,16,92.13735,88.44065,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201803,10001,20001,0,38,214.72336,214.72336,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201804,10001,20001,0,23,133.45031,132.83419,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201805,10001,20001,0,21,165.73507,165.73507,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201806,10001,20001,0,33,92.2941,92.2941,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201807,10001,20001,0,40,257.53628,256.0576,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201808,10001,20001,0,23,139.2421,139.2421,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201809,10001,20001,0,54,358.57922,358.57922,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201810,10001,20001,0,22,248.17132,245.21397,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201811,10001,20001,0,19,246.93909,241.02438,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201812,10001,20001,0,20,254.62373,254.62373,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201901,10001,20001,0,53,393.26092,386.60688,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201902,10001,20001,0,39,309.9061,309.9061,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201903,10001,20001,0,23,142.87158,130.54927,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201904,10001,20001,0,33,364.37071,364.37071,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201905,10001,20001,0,31,439.90647,439.90647,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201906,10001,20001,0,7,65.92436,65.92436,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201907,10001,20001,0,14,144.78714,144.78714,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201908,10001,20001,0,9,33.63991,33.63991,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201909,10001,20001,0,18,111.51691,109.05244,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201910,10001,20001,0,21,178.49426,176.0298,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201911,10001,20001,0,21,240.5987,236.65556,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201912,10001,20001,0,18,214.72185,180.21938,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201701,10002,20001,0,17,38.68301,35.72806,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201702,10002,20001,0,15,6.79415,6.79415,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201703,10002,20001,0,22,29.96366,29.94128,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201704,10002,20001,0,28,23.56126,22.81133,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201705,10002,20001,0,47,32.85146,31.22847,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201706,10002,20001,0,61,48.52166,47.57025,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201707,10002,20001,0,30,22.20691,21.84874,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201708,10002,20001,0,16,21.61368,17.08052,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201709,10002,20001,0,49,64.71793,59.17739,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201710,10002,20001,0,3,3.31313,3.31313,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201711,10002,20001,0,17,48.81267,48.81267,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201712,10002,20001,0,16,41.55961,41.53722,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201801,10002,20001,0,44,47.1673,44.70484,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201802,10002,20001,0,3,10.01468,8.536,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201803,10002,20001,0,20,42.24312,40.38357,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201804,10002,20001,0,25,49.11001,47.63133,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201805,10002,20001,0,29,41.14531,39.4762,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201806,10002,20001,0,2,1.25464,0.76174,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201807,10002,20001,0,16,32.96778,32.96778,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201808,10002,20001,0,17,59.16949,55.84247,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201809,10002,20001,0,11,23.92769,17.27364,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201810,10002,20001,0,13,22.26977,19.78291,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201811,10002,20001,0,9,26.89624,26.88504,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201812,10002,20001,0,23,138.09949,131.28861,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201901,10002,20001,0,3,11.99745,9.77943,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201902,10002,20001,0,3,8.45759,6.48602,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201903,10002,20001,0,19,39.11773,31.97079,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201904,10002,20001,0,12,59.85282,55.41679,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201905,10002,20001,0,9,42.29913,30.87299,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201906,10002,20001,0,19,178.53907,144.07021,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201907,10002,20001,0,9,87.24195,37.14616,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201909,10002,20001,0,19,76.52155,72.08551,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201910,10002,20001,0,10,19.43564,17.40806,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201911,10002,20001,0,11,45.61495,45.61495,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201912,10002,20001,0,20,115.30322,113.33165,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201701,10003,20001,0,17,143.49426,143.49426,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201702,10003,20001,0,6,20.48319,20.48319,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201703,10003,20001,0,21,137.93134,137.87537,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201704,10003,20001,0,25,80.1083,68.89292,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201705,10003,20001,0,33,150.12052,135.1219,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201706,10003,20001,0,29,171.67823,171.01785,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201707,10003,20001,0,24,64.66196,64.66196,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201708,10003,20001,0,22,83.6341,83.6341,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201709,10003,20001,0,20,70.61664,70.61664,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201710,10003,20001,0,18,63.46431,62.23308,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201711,10003,20001,0,23,125.76455,125.76455,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201712,10003,20001,0,18,134.49509,134.49509,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201801,10003,20001,0,25,42.49982,42.49982,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201802,10003,20001,0,14,78.19066,77.45132,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201803,10003,20001,0,32,196.74248,190.58133,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201804,10003,20001,0,24,217.55598,187.48955,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201805,10003,20001,0,19,28.71091,27.97157,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201806,10003,20001,0,21,174.4167,168.50199,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201807,10003,20001,0,25,170.46236,141.8746,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201808,10003,20001,0,29,275.57166,275.57166,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201809,10003,20001,0,5,3.32702,3.32702,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201810,10003,20001,0,3,67.39183,67.39183,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201811,10003,20001,0,13,200.49519,200.49519,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201812,10003,20001,0,23,98.91454,98.91454,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201901,10003,20001,0,23,181.24998,180.51064,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201902,10003,20001,0,18,102.77927,81.21522,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201903,10003,20001,0,18,216.61501,170.89924,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201904,10003,20001,0,17,230.00152,230.00152,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201905,10003,20001,0,1,1.84835,1.84835,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201907,10003,20001,0,24,138.23391,138.23391,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201908,10003,20001,0,15,162.22881,162.07198,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201909,10003,20001,0,13,233.20532,233.20532,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
201910,10003,20001,0,6,76.00625,76.00625,HC,ROPA LAVADO,Liquido,ARIEL,3000,genoma
